Instrument Group,Instrument,Department,Risk Country,Exchange,Trade CCY,Settlement CCY
Bonds,0% Convertible Bonds,RE,ASIA PACIFIC REGION,Colombo,CHF,MXN
Bonds,0% Convertible Bonds,INFRA,AUSTRIA,Vienna Stock Exchange,NZD,VND
Bonds,0% Convertible Bonds,EFM,EURO,LCH Clearnet,VND,EUR
Bonds,0% Convertible Bonds,RE,EURO,LCH Clearnet,KRW,EUR
Bonds,0% Convertible Bonds,BMG,FINLAND,HELSINKI STK EXC,RSD,EUR
Bonds,0% Convertible Bonds,ISG,GERMANY ,DFM,ZAR,EUR
Bonds,0% Convertible Bonds,INFRA,INDONESIA,INDONESIA STOCK EXCHANGE,SEK,RON
Bonds,0% Convertible Bonds,Kepler,ISRAEL,Tel Aviv Stock Exchange,KRW,BRL
Bonds,0% Convertible Bonds,Kepler,ISRAEL,Tel Aviv Stock Exchange,CAD,IDR
Bonds,0% Convertible Bonds,Kepler,JAPAN,Bursa Malaysia,MYR,AUD
Bonds,0% Convertible Bonds,FIMA,JAPAN,MESDAQ,NGN,SGD
Bonds,0% Convertible Bonds,FIMA,LUXEMBOURG,LUXEMBOURG STOCK EXCHANGE,DOP,JPY
Bonds,0% Convertible Bonds,Kepler,MACAU,Not Applicable,NZD,CNY
Bonds,0% Convertible Bonds,EMD,MEXICO,ISE Gemini,MYR,BEF
Bonds,0% Convertible Bonds,EFM,SOUTH KOREA,KOREA EXCHANGE,PKR,USD
Bonds,0% Convertible Bonds,EMD,SPAIN ,BMV Mexico (MEXICAN SE),USD,COP
Bonds,0% Convertible Bonds,EQD,SWEDEN,"	NASDAQ OMX Stockholm",KZT,LKR
Bonds,0% Convertible Bonds,EIS,TURKEY,BORSA ISTANBUL,USD,PKR
Bonds,0% Convertible Bonds,FIMA,UNITED KINGDOM,ICE Futures Europe Financials,USD,LKR
Bonds,0% Convertible Bonds,PE,UNITED KINGDOM,ICE Futures Europe Financials,CNH,MYR
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",CEOO,ARGENTINA,Bolsas Y Mercados Argentinos,THB,ARS
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",EFM,ARGENTINA,Bolsas Y Mercados Argentinos,PEN,ARS
Bonds,"Commercial Papers [including Discount Notes, Domestic Papers)",INFRA,ARGENTINA,Bolsas Y Mercados Argentinos,COP,ARS
