Instrument Group,Counterparty,Currency,Available limit,DataDate
Bonds,Abbey National Treasury Services PLC,USD,"40,335,865",5/9/24
Bonds,Australia & New Zealand Banking Group Limited,USD,"57,903,879",5/9/24
Bonds,Banco Barclays S.A.,USD,"28,538,340",5/9/24
Bonds,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A (BBVA)",USD,"66,175,862",5/9/24
Bonds,Banco BTG Pactual S.A.,USD,"17,529,161",5/9/24
Bonds,Banco Citibank S.A.,USD,"42,848,870",5/9/24
Bonds,Banco de Investimentos Credit Suisse (Brasil) S.A.,USD,"28,538,340",5/9/24
Bonds,Banco Santander (Brasil) S.A.,USD,"71,718,090",5/9/24
Bonds,Banco Santander-Chile,USD,"41,359,914",5/9/24
Bonds,Bank for International Settlements,USD,"3,308,793",5/9/24
Bonds,"Bank of America, National Association",USD,"19,458,992",5/9/24
Bonds,Bank of Communications Co. Ltd.,USD,"24,815,948",5/9/24
Bonds,Bank of Montreal,USD,"77,908,342",5/9/24
Bonds,Barclays Bank PLC,USD,"9,232,711",5/9/24
Bonds,Barclays Capital Inc.,USD,"16,917,763",5/9/24
Bonds,Barclays Capital Limited Liability Company,USD,"14,310,530",5/9/24
Bonds,BNP Paribas,USD,"135,596,353",5/9/24
Bonds,BNP Paribas (China) Limited,USD,"28,538,340",5/9/24
Bonds,BNP Paribas Securities Corp.,USD,"12,408,313",5/9/24
Bonds,"BTG Pactual US Capital, LLC",USD,"8,271,982",5/9/24
Bonds,China International Capital Corporation Limited,USD,"49,631,896",5/9/24
Bonds,CIBC World Markets Inc.,USD,"60,017,499",5/9/24
Bonds,CIMB Bank Berhad,USD,"46,766,036",5/9/24
Bonds,Citibank (China) Co. Ltd,USD,"208,067",5/9/24
Bonds,Citibank International Ltd,USD,"2,853,769",5/9/24
Bonds,Citibank Korea Inc,USD,"2,853,769",5/9/24
Bonds,Citibank NA,USD,"39,190,435",5/9/24
Bonds,Citigroup Global Markets Inc.,USD,"135,715,282",5/9/24
Bonds,Citigroup Global Markets Limited,USD,"249,602",5/9/24
Bonds,Citigroup Inc. ,USD,"8,316,961",5/9/24
Bonds,Commerzbank AG,USD,"86,870,739",5/9/24
Bonds,Commonwealth Bank of Australia,USD,"33,087,931",5/9/24
Bonds,Credit Agricole Corporate and Investment Bank,USD,"132,351,724",5/9/24
Bonds,Credit Suisse (Hong Kong) Limited,USD,"25,229,547",5/9/24
Bonds,Credit Suisse (Singapore) Limited,USD,"28,538,340",5/9/24
Bonds,Credit Suisse International,USD,"1,428,571",5/9/24
Bonds,Credit Suisse Securities (Europe) Limited,USD,"4,285,714",5/9/24
Bonds,Credit Suisse Securities (USA) LLC,USD,"20,002,258",5/9/24
Bonds,Daewoo Securities Co. Ltd,USD,"101,684,799",5/9/24
Bonds,Daiwa Capital Markets Singapore Limited,USD,"23,296,178",5/9/24
Bonds,Daiwa Securities Co Ltd,USD,"115,807,759",5/9/24
Bonds,Danske Bank A/S,USD,"21,700,701",5/9/24
Bonds,DBS Bank Ltd,USD,"85,366,862",5/9/24
Bonds,Deutsche Bank (Chile) S.A.,USD,"42,848,870",5/9/24
Bonds,Deutsche Bank AG,USD,"3,058,414",5/9/24
Bonds,Deutsche Bank S.A. - Banco Alemao,USD,"42,848,870",5/9/24
Bonds,Deutsche Bank Securities Inc.,USD,"19,140,791",5/9/24
Bonds,DZ Bank AG Deutsche Zentral –Genossenschaftsbank,USD,"82,719,828",5/9/24
Bonds,Goldman Sachs & Co.,USD,"57,719,848",5/9/24
Bonds,Goldman Sachs (India) Capital Markets Pte Ltd,USD,"28,538,340",5/9/24
Bonds,Goldman Sachs Bank USA,USD,"7,146,931",5/9/24
Bonds,Goldman Sachs Do Brasil Banco Multiplo S.A.,USD,"12,971,896",5/9/24
Bonds,Goldman Sachs International,USD,"98,893,017",5/9/24
Bonds,Goldman Sachs Lending Partners LLC,USD,"14,310,530",5/9/24
